"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","pseAbility","langinst","wPercentCxPSE","rawPercentCxPSE","clean_school_id","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","pseAbilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT"
"295",295,295,"N",600,55,0,NA,NA,NA,-0.167359788569284,"en",0.575,0.5625,10,102,100,73,NA,2,106,16,"EO",NA,-0.201184321079361,"EO","NotReported","Not Hispanic","en","EO"
"296",296,296,"N",700,55,0,NA,NA,NA,0.0690998170896675,"en",0.65,0.625,10,99,102,98,NA,2,110,16,"EO",NA,-0.0984604274528501,"EO","NotReported","Not Hispanic","en","EO"
"297",297,297,"N",600,55,0,NA,NA,NA,-1.85993723418404,"en",0.25,0.25,10,67,91,80,NA,2,113,16,"EO",NA,-2.12779926275089,"EO","NotReported","Not Hispanic","en","EO"
"298",298,298,"N",200,55,0,NA,NA,NA,-0.823600885651215,"en",0.425,0.4375,10,90,91,83,NA,2,109,16,"EO",NA,-0.957727202185623,"EO","NotReported","Not Hispanic","en","EO"
"299",299,299,"N",600,55,0,NA,NA,NA,-0.0280061563442619,"en",0.575,0.59375,10,113,106,97,NA,2,114,16,"EO",NA,-0.32930211291922,"EO","NotReported","Not Hispanic","en","EO"
"300",300,300,"Y",700,55,0,NA,NA,NA,-1.4655143363769,"en",0.325,0.3125,10,116,113,106,NA,2,104,16,"EO",NA,-1.43247101287076,"EO","NotReported","Hispanic","en","EO"
"301",301,301,"N",600,55,0,NA,NA,NA,-0.0509669850588511,"en",0.625,0.59375,10,75,72,72,NA,2,108,16,"EO",NA,-0.151659373585148,"EO","NotReported","Not Hispanic","en","EO"
"302",302,302,"N",700,55,0,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,10,96,102,101,NA,2,107,16,"EO",NA,0.384847462949326,"EO","NotReported","Not Hispanic","en","EO"
"303",303,303,"N",700,0,0,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,10,97,77,77,NA,1,102,16,"EO",NA,-0.0615842063089181,"EO","Ineligible","Not Hispanic","en","EO"
"304",304,304,"Y",999,0,1,NA,NA,NA,-1.8627848485315,"en",0.225,0.1875,10,77,96,76,NA,1,97,16,"EL",NA,-1.59570402896859,"EL","Ineligible","Hispanic","en","ES"
"305",305,305,"N",700,0,0,NA,NA,NA,-0.604818207694438,"en",0.475,0.46875,10,110,111,89,NA,1,100,16,"EO",NA,-0.438039172155854,"EO","Ineligible","Not Hispanic","en","EO"
"306",306,306,"N",700,0,0,NA,NA,NA,0.170196042973608,"en",0.7,0.65625,10,105,109,93,NA,1,94,16,"EO",NA,0.537578646560854,"EO","Ineligible","Not Hispanic","en","EO"
"307",307,307,"N",700,0,0,NA,NA,NA,0.427839160699871,"en",0.725,0.71875,10,110,118,103,NA,1,105,16,"EO",NA,0.427448556197904,"EO","Ineligible","Not Hispanic","en","EO"
"308",308,308,"N",100,0,0,NA,NA,NA,0.975183200982092,"en",0.825,0.84375,10,111,101,95,NA,1,102,16,"EO",NA,1.07509438050446,"EO","Ineligible","Not Hispanic","en","EO"
"309",309,309,"Y",700,0,0,NA,NA,NA,-0.00313819611437507,"en",0.525,0.59375,10,104,110,93,NA,1,102,16,"EO",NA,0.0967729834079889,"EO","Ineligible","Hispanic","en","EO"
"310",310,310,"Y",600,0,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,10,101,97,82,NA,1,101,16,"EO",NA,-0.0225881160101469,"EO","Ineligible","Hispanic","en","EO"
"311",311,311,"Y",100,0,0,NA,NA,NA,0.437914977855591,"en",0.666666666666667,0.666666666666667,10,83,88,71,NA,1,100,16,"EO",NA,0.604694013394175,"EO","Ineligible","Hispanic","en","EO"
"312",312,312,"Y",700,0,0,NA,NA,NA,-0.173291699184974,"en",0.6,0.5625,10,95,107,88,NA,1,94,16,"EO",NA,0.194090904402271,"EO","Ineligible","Hispanic","en","EO"
"313",313,313,"N",600,0,0,NA,NA,NA,-0.299524492150996,"en",0.55,0.53125,10,96,107,81,NA,1,96,16,"EO",NA,0.000990255420029049,"EO","Ineligible","Not Hispanic","en","EO"
"314",314,314,"N",300,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,10,118,105,90,NA,1,94,16,"EO",NA,0.674394617772372,"EO","Ineligible","Not Hispanic","en","EO"
"315",315,315,"N",200,0,0,NA,NA,NA,-0.0157782351586747,"en",0.55,0.59375,10,99,108,108,NA,1,93,16,"EO",NA,0.385038296436681,"EO","Ineligible","Not Hispanic","en","EO"
"316",316,316,"N",700,0,0,NA,NA,NA,0.100430567862464,"en",0.6,0.625,10,103,118,114,NA,1,95,16,"EO",NA,0.434379243441599,"EO","Ineligible","Not Hispanic","en","EO"
"317",317,317,"N",700,0,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,10,120,115,97,NA,1,88,16,"EO",NA,0.412052948095286,"EO","Ineligible","Not Hispanic","en","EO"
"318",318,318,"Y",700,0,0,NA,NA,NA,-0.719362758733845,"en",0.475,0.4375,16,NA,NA,NA,NA,1,100,28,"EO",NA,-0.552583723195261,"EO","Ineligible","Hispanic","en","EO"
"319",319,319,"Y",700,55,0,NA,NA,NA,0.286392864642851,"en",0.725,0.6875,16,77,102,90,NA,1,88,28,"EO",NA,0.854379036278758,"EO","NotReported","Hispanic","en","EO"
"320",320,320,"N",700,2,1,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,16,82,97,96,NA,1,89,28,"EL",NA,0.841564257812923,"EL","Eligible","Not Hispanic","en","ES"
"321",321,321,"N",700,2,1,NA,NA,NA,-0.604818207694438,"en",0.475,0.46875,16,60,61,77,NA,1,93,28,"EL",NA,-0.204001676099082,"EL","Eligible","Not Hispanic","en","ES"
"322",322,322,"",700,0,0,NA,NA,NA,-0.299524492150996,"en",0.55,0.53125,16,NA,NA,NA,NA,1,99,28,NA,NA,-0.0993115286043015,"EO","Ineligible",NA,"en","EO"
"323",323,323,"Y",700,2,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,16,84,94,86,NA,1,89,28,"EO",NA,0.863037937236451,"EO","Eligible","Hispanic","en","EO"
"324",324,324,"N",100,0,0,NA,NA,NA,0.756985308390598,"en",0.85,0.8125,16,139,137,131,NA,1,97,28,"EO",NA,1.02406612795351,"EO","Ineligible","Not Hispanic","en","EO"
"325",325,325,"N",700,2,1,NA,NA,NA,-0.436473651517824,"en",0.525,0.5,16,NA,NA,NA,NA,1,97,28,"EL",NA,-0.169392831954909,"EL","Eligible","Not Hispanic","en","ES"
"326",326,326,"Y",700,0,0,NA,NA,NA,0.975183200982092,"en",0.825,0.84375,16,102,101,95,NA,1,93,28,"EO",NA,1.37599973257745,"EO","Ineligible","Hispanic","en","EO"
"327",327,327,"",700,2,1,NA,NA,NA,-0.542932915789631,"en",0.425,0.5,16,NA,NA,NA,NA,1,96,28,NA,NA,-0.242418168218606,"EL","Eligible",NA,"en","ES"
"328",328,328,"Y",700,55,0,NA,NA,NA,-0.0509669850588511,"en",0.625,0.59375,16,68,94,63,NA,1,98,28,"EO",NA,0.182679906495954,"EO","NotReported","Hispanic","en","EO"
"329",329,329,"Y",600,2,0,NA,NA,NA,-0.18491284556875,"en",0.65,0.5625,16,NA,NA,NA,NA,1,91,27,"EO",NA,0.282771542042826,"EO","Eligible","Hispanic","en","EO"
"330",330,330,"N",700,0,0,NA,NA,NA,-0.298471611937142,"en",0.575,0.53125,16,NA,NA,NA,NA,1,96,27,"EO",NA,0.00204313563388307,"EO","Ineligible","Not Hispanic","en","EO"
"331",331,331,"N",700,0,0,NA,NA,NA,-0.763251163858116,"en",0.45,0.4375,16,90,96,86,NA,1,91,27,"EO",NA,-0.29556677624654,"EO","Ineligible","Not Hispanic","en","EO"
"332",332,332,"N",700,0,0,NA,NA,NA,1.05886917649267,"en",0.9,0.875,16,136,134,132,NA,1,95,27,"EO",NA,1.39281785207181,"EO","Ineligible","Not Hispanic","en","EO"
"333",333,333,"Y",700,1,0,NA,NA,NA,-0.497097555855538,"en",0.45,0.5,16,NA,NA,NA,NA,1,99,27,"EO",NA,-0.296884592308844,"EO","Eligible","Hispanic","en","EO"
"334",334,334,"N",700,0,0,NA,NA,NA,-0.299524492150996,"en",0.55,0.53125,16,94,100,86,NA,1,97,27,"EO",NA,-0.0324436725880812,"EO","Ineligible","Not Hispanic","en","EO"
"335",335,335,"N",700,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,16,NA,NA,NA,NA,1,97,27,"EO",NA,0.455051296088452,"EO","Ineligible","Not Hispanic","en","EO"
"336",336,336,"N",400,0,0,NA,NA,NA,0.134871292595642,"en",0.55,0.625,16,NA,NA,NA,NA,1,93,27,"EO",NA,0.535687824190998,"EO","Ineligible","Not Hispanic","en","EO"
"337",337,337,"Y",700,1,0,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,16,110,112,107,NA,1,88,27,"EO",NA,0.77453827051759,"EO","Eligible","Hispanic","en","EO"
"338",338,338,"N",700,0,0,NA,NA,NA,-1.84181089535771,"en",0.275,0.3125,16,60,83,75,NA,1,98,27,"EO",NA,-1.60816400380291,"EO","Ineligible","Not Hispanic","en","EO"
"339",339,339,"Y",600,1,0,NA,NA,NA,-0.161495385831282,"en",0.55,0.5625,16,119,112,107,NA,1,95,27,"EO",NA,0.172453289747853,"EO","Eligible","Hispanic","en","EO"
"340",340,340,"Y",600,0,0,NA,NA,NA,-0.301858799449767,"en",0.525,0.53125,16,134,134,109,NA,1,102,27,"EO",NA,-0.201947619927403,"EO","Ineligible","Hispanic","en","EO"
"341",341,341,"N",300,1,0,NA,NA,NA,-0.0157782351586747,"en",0.55,0.59375,16,NA,NA,NA,NA,1,90,27,"EO",NA,0.485340080461012,"EO","Eligible","Not Hispanic","en","EO"
"342",342,342,"Y",700,1,0,NA,NA,NA,-0.00744721028500534,"en",0.65,0.65,16,102,114,101,NA,1,96,27,"EO",NA,0.29306753728602,"EO","Eligible","Hispanic","en","EO"
"343",343,343,"N",700,55,0,NA,NA,NA,-0.173291699184974,"en",0.6,0.5625,16,72,97,82,NA,1,98,27,"EO",NA,0.0603551923698307,"EO","NotReported","Not Hispanic","en","EO"
"344",344,344,"Y",700,2,0,NA,NA,NA,-2.23247209769695,"en",0.275,0.275,16,99,105,99,NA,1,95,27,"EO",NA,-1.89852342211782,"EO","Eligible","Hispanic","en","EO"
"345",345,345,"N",600,55,0,NA,NA,NA,0.328485693608654,"en",0.675,0.6875,16,95,113,86,NA,1,91,27,"EO",NA,0.79617008122023,"EO","NotReported","Not Hispanic","en","EO"
"346",346,346,"N",300,2,0,NA,NA,NA,0.552355284071622,"en",0.75,0.75,16,120,119,104,NA,1,89,27,"EO",NA,1.08690752769942,"EO","Eligible","Not Hispanic","en","EO"
"347",347,347,"N",200,55,0,NA,NA,NA,-0.604818207694438,"en",0.475,0.46875,16,77,94,83,NA,1,94,27,"EO",NA,-0.237435604107192,"EO","NotReported","Not Hispanic","en","EO"
"348",348,348,"Y",400,0,0,NA,NA,NA,0.756985308390598,"en",0.85,0.8125,16,69,98,73,NA,1,100,27,"EO",NA,0.923764343929182,"EO","Ineligible","Hispanic","en","EO"
"349",349,349,"N",700,2,0,NA,NA,NA,-1.4655143363769,"en",0.325,0.3125,16,63,66,63,NA,1,95,27,"EO",NA,-1.13156566079777,"EO","Eligible","Not Hispanic","en","EO"
"350",350,350,"N",700,0,0,NA,NA,NA,0.975183200982092,"en",0.825,0.84375,16,123,129,108,NA,1,88,27,"EO",NA,1.543169372618,"EO","Ineligible","Not Hispanic","en","EO"
"351",351,351,"Y",600,1,0,NA,NA,NA,-0.306288662678975,"en",0.5,0.53125,16,91,99,90,NA,1,91,27,"EO",NA,0.161395724932601,"EO","Eligible","Hispanic","en","EO"
"352",352,352,"Y",200,0,1,NA,NA,NA,-0.418646454246288,"en",0.575,0.5,16,102,94,104,NA,1,91,27,"EL",205,0.049037933365288,"EL","Ineligible","Hispanic","en","ES"
"353",353,353,"N",700,2,0,NA,NA,NA,-0.497097555855538,"en",0.45,0.5,16,NA,NA,NA,NA,1,90,27,"EO",NA,0.00402075976414823,"EO","Eligible","Not Hispanic","en","EO"
"354",354,354,"Y",700,1,0,NA,NA,NA,-0.823600885651215,"en",0.425,0.4375,16,69,79,65,NA,1,98,27,"EO",NA,-0.58995399409641,"EO","Eligible","Hispanic","en","EO"
"355",355,355,"Y",700,2,0,NA,NA,NA,0.0406514392034822,"en",0.7,0.625,16,NA,NA,NA,NA,1,95,27,"EO",NA,0.374600114782617,"EO","Eligible","Hispanic","en","EO"
"356",356,356,"N",700,2,0,NA,NA,NA,1.14718094579119,"en",0.85,0.875,16,64,63,79,NA,1,91,27,"EO",NA,1.61486533340277,"EO","Eligible","Not Hispanic","en","EO"
"357",357,357,"Y",700,2,0,NA,NA,NA,-1.12109216972074,"en",0.4,0.34375,16,NA,NA,NA,NA,1,91,27,"EO",NA,-0.653407782109164,"EO","Eligible","Hispanic","en","EO"
"358",358,358,"Y",700,3,1,NA,1,3,-2.36129017442156,"en",0.175,0.21875,19,106,103,82,NA,1,96,11,"EL",294,-2.06077542685053,"EL","Eligible","Hispanic","en","ES"
"359",359,359,"Y",700,3,0,NA,0,3,-1.78216933382272,"en",0.25,0.21875,19,92,68,91,NA,1,98,11,"EO",NA,-1.54852244226792,"EO","Eligible","Hispanic","en","EO"
"360",360,360,"Y",700,0,0,NA,0,3,-1.32810767070559,"en",0.35,0.34375,19,112,116,121,NA,1,101,11,"EO",NA,-1.19476256317512,"EO","Ineligible","Hispanic","en","EO"
"361",361,361,"N",600,3,0,NA,0,3,0.206552098881683,"en",0.65,0.65625,19,81,89,88,NA,1,97,11,"EO",NA,0.473632918444598,"EO","Eligible","Not Hispanic","en","EO"
"362",362,362,"Y",600,3,0,NA,0,3,0.328485693608654,"en",0.675,0.6875,19,116,118,102,NA,1,98,11,"EO",NA,0.562132585163459,"EO","Eligible","Hispanic","en","EO"
"363",363,363,"Y",700,3,0,NA,0,3,0.653420792083748,"en",0.8,0.78125,19,108,106,106,NA,1,102,11,"EO",NA,0.753331971606112,"EO","Eligible","Hispanic","en","EO"
"364",364,364,"N",600,3,0,NA,0,3,-0.0157782351586747,"en",0.55,0.59375,19,83,88,83,NA,1,95,11,"EO",NA,0.318170440420461,"EO","Eligible","Not Hispanic","en","EO"
"365",365,365,"N",600,3,0,NA,0,3,0.552355284071622,"en",0.75,0.75,19,120,107,112,NA,1,97,11,"EO",NA,0.819436103634537,"EO","Eligible","Not Hispanic","en","EO"
"366",366,366,"Y",700,0,0,NA,0,3,0.789058908905942,"en",0.825,0.8125,19,89,94,87,NA,1,94,11,"EO",NA,1.15644151249319,"EO","Ineligible","Hispanic","en","EO"
"367",367,367,"Y",700,3,1,NA,0,3,0.398343729585093,"en",0.6,0.6875,19,73,94,81,NA,1,102,11,"EL",560,0.498254909107457,"EL","Eligible","Hispanic","en","ES"
"368",368,368,"N",600,3,0,NA,0,3,0.682889073528577,"en",0.775,0.78125,19,98,105,106,NA,1,99,11,"EO",NA,0.883102037075272,"EO","Eligible","Not Hispanic","en","EO"
"369",369,369,"Y",700,3,0,NA,0,3,0.427839160699871,"en",0.725,0.71875,19,130,129,123,NA,1,99,11,"EO",NA,0.628052124246566,"EO","Eligible","Hispanic","en","EO"
"370",370,370,"Y",700,3,0,NA,0,3,0.653420792083748,"en",0.8,0.78125,19,105,96,73,NA,1,98,11,"EO",NA,0.887067683638553,"EO","Eligible","Hispanic","en","EO"
"371",371,371,"N",600,3,0,NA,0,3,-0.0718805024610472,"en",0.675,0.59375,19,103,96,97,NA,1,99,11,"EO",NA,0.128332461085647,"EO","Eligible","Not Hispanic","en","EO"
"372",372,372,"Y",700,0,0,NA,0,3,-0.449949119415816,"en",0.5,0.5,19,70,82,71,NA,1,102,11,"EO",NA,-0.350037939893452,"EO","Ineligible","Hispanic","en","EO"
"373",373,373,"N",600,3,0,NA,0,3,-2.09625651755087,"en",0.175,0.15625,19,55,55,63,NA,1,97,11,"EO",NA,-1.82917569798796,"EO","Eligible","Not Hispanic","en","EO"
"374",374,374,"N",600,3,0,NA,0,3,-0.0195474265213547,"en",0.65,0.65,19,113,112,113,NA,1,92,11,"EO",NA,0.414703033082111,"EO","Eligible","Not Hispanic","en","EO"
"375",375,375,"N",600,3,0,NA,0,1,-1.58573998350476,"en",0.3,0.28125,19,64,67,74,NA,1,91,11,"EO",NA,-1.11805559589318,"EO","Eligible","Not Hispanic","en","EO"
"376",376,376,"N",600,3,0,NA,0,3,-0.823600885651215,"en",0.425,0.4375,19,57,51,60,NA,1,102,11,"EO",NA,-0.723689706128851,"EO","Eligible","Not Hispanic","en","EO"
"377",377,377,"Y",700,3,1,NA,1,3,0.822450843643387,"en",0.8,0.8125,19,62,45,43,NA,1,100,11,"EL",197,0.989229879181971,"EL","Eligible","Hispanic","en","ES"
"378",378,378,"Y",700,3,0,NA,0,3,-2.02785306850353,"en",0.2,0.1875,19,59,60,71,NA,1,94,11,"EO",NA,-1.66047046491628,"EO","Eligible","Hispanic","en","EO"
"379",379,379,"Y",700,0,0,NA,0,3,-1.31502661538805,"en",0.35,0.375,19,65,63,74,NA,1,91,11,"EO",NA,-0.847342227776474,"EO","Ineligible","Hispanic","en","EO"
"380",380,380,"Y",999,0,1,NA,NA,NA,1.01542889792082,"en",0.8,0.84375,20,73,53,78,NA,2,110,8,"EL",NA,0.847868653378302,"EL","Ineligible","Hispanic","en","ES"
"381",381,381,"Y",999,2,1,NA,NA,NA,-0.314390226666618,"en",0.475,0.53125,20,101,92,84,NA,2,111,8,"EL",NA,-0.515384399217246,"EL","Eligible","Hispanic","en","ES"
"382",382,382,"Y",999,0,1,NA,NA,NA,-0.497097555855538,"en",0.45,0.5,20,82,85,76,NA,2,109,8,"EL",NA,-0.631223872389945,"EL","Ineligible","Hispanic","en","ES"
"383",383,383,"Y",999,2,1,NA,NA,NA,0.552355284071622,"en",0.75,0.75,20,NA,NA,NA,NA,2,109,8,"EL",NA,0.418228967537215,"EL","Eligible","Hispanic","en","ES"
"384",384,384,"Y",300,0,0,NA,NA,NA,-2.09625651755087,"en",0.175,0.15625,20,102,101,61,NA,2,107,8,"EO",NA,-2.16351497806906,"EO","Ineligible","Hispanic","en","EO"
"385",385,385,"Y",999,0,0,NA,NA,NA,-1.25689451494909,"en",0.475,0.475,20,110,116,108,NA,2,106,8,"EO",NA,-1.29071904745917,"EO","Ineligible","Hispanic","en","EO"
"386",386,386,"Y",700,2,0,NA,NA,NA,-1.4855057607404,"en",0.325,0.34375,20,72,87,68,NA,2,104,8,"EO",NA,-1.45246243723426,"EO","Eligible","Hispanic","en","EO"
"387",387,387,"Y",999,2,1,NA,NA,NA,-1.4655143363769,"en",0.325,0.3125,20,82,84,82,NA,2,106,8,"EL",NA,-1.49933886888698,"EL","Eligible","Hispanic","en","ES"
"388",388,388,"Y",999,1,0,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,20,90,97,97,NA,2,103,8,"EO",NA,0.749366325042831,"EO","Eligible","Hispanic","en","EO"
"389",389,389,"Y",999,2,1,NA,NA,NA,0.526130294968352,"en",0.775,0.75,20,138,143,117,NA,2,105,8,"EL",NA,0.525739690466385,"EL","Eligible","Hispanic","en","ES"
"390",390,390,"Y",100,0,0,NA,NA,NA,-1.96210616596529,"en",0.25,0.28125,20,80,91,81,NA,2,107,8,"EO",NA,-2.02936462648348,"EO","Ineligible","Hispanic","en","EO"
"391",391,391,"Y",999,2,1,NA,NA,NA,0.100430567862464,"en",0.6,0.625,20,65,77,65,NA,2,111,8,"EL",NA,-0.100563604688164,"EL","Eligible","Hispanic","en","ES"
"392",392,392,"N",999,0,0,NA,NA,NA,-0.155933223540621,"en",0.525,0.5625,20,95,95,85,NA,2,110,8,"EO",NA,-0.323493468083139,"EO","Ineligible","Not Hispanic","en","EO"
"393",393,393,"Y",999,1,1,NA,NA,NA,-0.920293131083552,"en",0.425,0.40625,20,81,82,80,NA,2,109,8,"EL",NA,-1.05441944761796,"EL","Eligible","Hispanic","en","ES"
"394",394,394,"Y",999,2,1,NA,NA,NA,0.682889073528577,"en",0.775,0.78125,20,82,97,87,NA,2,110,8,"EL",NA,0.515328828986059,"EL","Eligible","Hispanic","en","ES"
"395",395,395,"Y",999,1,0,NA,NA,NA,1.05756529377988,"en",0.875,0.875,20,102,100,96,NA,2,110,8,"EO",NA,0.890005049237362,"EO","Eligible","Hispanic","en","EO"
"396",396,396,"Y",999,2,1,NA,NA,NA,-2.21670801877204,"en",0.175,0.1875,20,86,95,77,NA,2,106,8,"EL",NA,-2.25053255128212,"EL","Eligible","Hispanic","en","ES"
"397",397,397,"Y",999,0,0,NA,NA,NA,-0.426414484932837,"en",0.55,0.5,20,110,114,112,NA,2,102,8,"EO",NA,-0.326503305410473,"EO","Ineligible","Hispanic","en","EO"
"398",398,398,"Y",999,2,1,NA,NA,NA,0.899996660233512,"en",0.875,0.84375,20,104,119,93,NA,2,104,8,"EL",NA,0.933039983739655,"EL","Eligible","Hispanic","en","ES"
"399",399,399,"Y",999,1,1,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,20,98,100,91,NA,2,103,8,"EL",NA,0.518583174981767,"EL","Eligible","Hispanic","en","ES"
"400",400,400,"Y",999,2,0,NA,NA,NA,-1.78216933382272,"en",0.25,0.21875,20,84,86,74,NA,2,105,8,"EO",NA,-1.78255993832469,"EO","Eligible","Hispanic","en","EO"
"401",401,401,"N",200,0,0,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,20,111,111,101,NA,2,111,8,"EO",NA,0.106017841634498,"EO","Ineligible","Not Hispanic","en","EO"
"402",402,402,"Y",999,2,1,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,20,69,87,76,NA,2,110,8,"EL",NA,0.0204102319830194,"EL","Eligible","Hispanic","en","ES"
"403",403,403,"Y",999,2,1,NA,NA,NA,-1.85993723418404,"en",0.25,0.25,20,42,NA,52,NA,2,115,8,"EL",NA,-2.19466711876711,"EL","Eligible","Hispanic","en","ES"
"404",404,404,"Y",700,2,0,NA,NA,NA,-2.17772376305219,"en",0.225,0.225,20,49,47,56,NA,2,119,8,"EO",NA,-2.6461893596677,"EO","Eligible","Hispanic","en","EO"
"405",405,405,"Y",700,0,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,20,109,103,104,NA,2,106,8,"EO",NA,0.15414594401546,"EO","Ineligible","Hispanic","en","EO"
"406",406,406,"Y",999,1,1,NA,NA,NA,0.134871292595642,"es",0.55,0.625,20,56,NA,58,NA,2,108,8,"EL",NA,0.0341789040693447,"EL","Eligible","Hispanic","es","ES"
"407",407,407,"Y",999,2,1,NA,NA,NA,-1.37571209017136,"en",0.1,0.166666666666667,20,52,57,59,NA,2,118,8,"EL",NA,-1.81074375877876,"EL","Eligible","Hispanic","en","ES"
"408",408,408,"Y",999,1,1,NA,NA,NA,0.206552098881683,"en",0.65,0.65625,20,79,91,78,NA,2,105,8,"EL",NA,0.206161494379716,"EL","Eligible","Hispanic","en","ES"
"409",409,409,"Y",999,1,1,NA,NA,NA,-0.0509669850588511,"en",0.625,0.59375,20,57,69,66,NA,2,111,8,"EL",NA,-0.251961157609479,"EL","Eligible","Hispanic","en","ES"
"410",410,410,"Y",999,2,1,NA,NA,NA,0.452105923467513,"en",0.7,0.71875,20,88,95,82,NA,2,110,8,"EL",NA,0.284545678924995,"EL","Eligible","Hispanic","en","ES"
"411",411,411,"N",700,1,0,NA,NA,NA,0.187970476525537,"en",0.675,0.65625,20,NA,NA,NA,NA,2,108,8,"EO",NA,0.0872780879992397,"EO","Eligible","Not Hispanic","en","EO"
"412",412,412,"N",999,0,0,NA,NA,NA,-0.0280061563442619,"en",0.575,0.59375,20,89,103,88,NA,2,103,8,"EO",NA,0.0384710951699918,"EO","Ineligible","Not Hispanic","en","EO"
"413",413,413,"Y",999,2,1,NA,NA,NA,0.187970476525537,"es",0.675,0.65625,20,74,87,83,NA,2,103,8,"EL",NA,0.254447728039791,"EL","Eligible","Hispanic","es","ES"
"414",414,414,"U",700,0,0,NA,NA,NA,-2.36129017442156,"en",0.175,0.21875,20,105,111,95,NA,2,106,8,"EO",NA,-2.39511470693164,"EO","Ineligible","not Available","en","EO"
"415",415,415,"Y",999,2,1,NA,NA,NA,0.789058908905942,"es",0.825,0.8125,20,104,106,97,NA,2,109,8,"EL",NA,0.654932592371535,"EL","Eligible","Hispanic","es","ES"
"416",416,416,"Y",999,2,1,NA,NA,NA,-0.46885406853292,"en",0.475,0.5,20,89,87,82,NA,2,106,8,"EL",NA,-0.502678601042997,"EL","Eligible","Hispanic","en","ES"
"417",417,417,"Y",700,2,1,NA,NA,NA,0.307012014185126,"en",0.7,0.6875,20,103,101,83,NA,2,121,8,"EL",NA,-0.228321438446604,"EL","Eligible","Hispanic","en","ES"
"418",418,418,"Y",999,0,0,NA,NA,NA,-0.556156665387409,"en",0.525,0.46875,20,66,55,75,NA,2,108,8,"EO",NA,-0.656849053913706,"EO","Ineligible","Hispanic","en","EO"
"419",419,419,"Y",999,1,0,NA,NA,NA,0.477315454000685,"en",0.675,0.71875,20,119,106,107,NA,2,106,8,"EO",NA,0.443490921490608,"EO","Eligible","Hispanic","en","EO"
"420",420,420,"Y",999,2,1,NA,NA,NA,-0.0397440157169303,"en",0.6,0.59375,20,94,105,81,NA,2,110,8,"EL",NA,-0.207304260259448,"EL","Eligible","Hispanic","en","ES"
"421",421,421,"Y",999,2,0,NA,0,NA,0.307012014185126,"en",0.7,0.6875,20,59,83,68,NA,1,112,8,"EO",NA,0.072583913626388,"EO","Eligible","Hispanic","en","EO"
"422",422,422,"Y",999,3,0,NA,0,3,0.427839160699871,"en",0.725,0.71875,20,69,82,71,NA,1,105,8,"EO",NA,0.427448556197904,"EO","Eligible","Hispanic","en","EO"
"423",423,423,"Y",999,2,1,NA,1,2,0.307012014185126,"en",0.7,0.6875,20,59,54,64,NA,1,109,8,"EL",379,0.172885697650719,"EL","Eligible","Hispanic","en","ES"
"424",424,424,"Y",999,2,1,NA,1,2,-0.719362758733845,"en",0.475,0.4375,20,78,95,85,NA,1,101,8,"EL",310,-0.586017651203371,"EL","Eligible","Hispanic","en","ES"
"425",425,425,"Y",999,2,0,NA,0,NA,-0.604818207694438,"en",0.475,0.46875,20,72,94,74,NA,1,99,8,"EO",NA,-0.404605244147743,"EO","Eligible","Hispanic","en","EO"
"426",426,426,"N",700,0,0,NA,0,NA,-1.23787164615321,"en",0.375,0.3125,20,105,110,106,NA,1,90,8,"EO",NA,-0.736753330533524,"EO","Ineligible","Not Hispanic","en","EO"
"427",427,427,"N",600,0,0,NA,0,NA,-0.685880024673642,"en",0.5,0.4375,20,90,102,99,NA,1,90,8,"EO",NA,-0.184761709053956,"EO","Ineligible","Not Hispanic","en","EO"
"428",428,428,"Y",999,2,1,NA,1,1,-0.719362758733845,"en",0.475,0.4375,20,63,62,63,NA,1,102,8,"EL",155,-0.619451579211481,"EL","Eligible","Hispanic","en","ES"
"429",429,429,"Y",999,3,0,NA,0,NA,0.899996660233512,"en",0.875,0.84375,20,109,105,94,NA,1,96,8,"EO",NA,1.20051140780454,"EO","Eligible","Hispanic","en","EO"
"430",430,430,"Y",999,0,1,NA,1,1,-1.37571209017136,"en",0.1,0.166666666666667,20,84,71,88,NA,1,93,8,"EL",155,-0.974895558576004,"EL","Ineligible","Hispanic","en","ES"
"431",431,431,"Y",700,0,0,NA,0,NA,0.206552098881683,"en",0.65,0.65625,20,80,102,86,NA,1,92,8,"EO",NA,0.640802558485149,"EO","Ineligible","Hispanic","en","EO"
