"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"35",35,35,"Y",999,55,1,NA,NA,NA,2.38441254908142,"en",99,NA,NA,114,1,94,6,"EL",230,1.59565000328842,"EL","NotReported","Hispanic","en","ES",NA
"36",36,36,"Y",999,55,1,NA,NA,NA,2.25351446383702,"en",77,90,83,NA,1,89,6,"EL",313,1.68629715923487,"EL","NotReported","Hispanic","en","ES",NA
"37",37,37,"Y",999,55,1,NA,1,3,0.48166920275294,"en",107,NA,NA,106,1,97,6,"EL",284,-0.44002048775457,"EL","NotReported","Hispanic","en","ES",NA
"38",38,38,"Y",999,55,1,NA,1,3,1.05522958847084,"en",93,103,83,NA,1,100,6,"EL",368,0.000612753248817721,"EL","NotReported","Hispanic","en","ES",NA
"39",39,39,"Y",999,55,1,NA,NA,NA,-0.766683384440801,"en",97,108,100,NA,1,88,6,"EL",371,-1.28959164080478,"EL","NotReported","Hispanic","en","ES",NA
"40",40,40,"Y",999,55,0,NA,NA,NA,1.25477378165092,"en",113,115,108,NA,1,95,6,"EO",NA,0.421702187619751,"EO","NotReported","Hispanic","en","EO",NA
"41",41,41,"Y",999,55,0,NA,NA,NA,0.99258942349167,"en",109,94,93,NA,1,89,6,"EO",NA,0.425372118889525,"EO","NotReported","Hispanic","en","EO",NA
"42",42,42,"Y",700,55,1,NA,NA,NA,0.32476728855622,"en",78,100,94,NA,1,88,6,"EL",151,-0.198140967807755,"EL","NotReported","Hispanic","en","ES",NA
"43",43,43,"Y",999,55,0,NA,NA,NA,2.56846619610923,"en",115,101,92,NA,1,90,6,"EO",NA,1.95693984326891,"EO","NotReported","Hispanic","en","EO",NA
"44",44,44,"Y",999,55,0,NA,NA,NA,2.77738795783677,"en",95,104,90,NA,1,96,6,"EO",NA,1.90000731556743,"EO","NotReported","Hispanic","en","EO",NA
"45",45,45,"Y",999,55,1,NA,NA,NA,-0.0832652535363419,"en",79,94,77,NA,1,96,6,"EL",283,-0.960645895805682,"EL","NotReported","Hispanic","en","ES",NA
"46",46,46,"Y",999,55,0,NA,NA,NA,-0.150359796581038,"en",108,112,102,NA,1,88,6,"EO",NA,-0.673268052945013,"EO","NotReported","Hispanic","en","EO",NA
"47",47,47,"N",700,55,0,NA,NA,NA,2.41329525531521,"en",105,108,99,NA,1,95,6,"EO",NA,1.58022366128404,"EO","NotReported","Not Hispanic","en","EO",NA
"48",48,48,"Y",999,55,0,NA,NA,NA,0.307724660521741,"en",114,110,94,NA,1,95,6,"EO",NA,-0.525346933509428,"EO","NotReported","Hispanic","en","EO",NA
