"","student_tracking_id","LetAbilitySS","LetAbility","ELStatus.x","proxy_SES.x","pseAbilitySS","pseAbility","ELStatus.y","proxy_SES.y","MPabilitySS","MPability.x","ELStatus","proxy_SES","wcj_lwi","wcj_lwi_ss","wcj_spelling","wcj_spelling_ss","wcj_wa","wcj_wa_ss","wcj_srt","wcj_srt_ss","wcm_lwi","wcm_lwi_ss","age_month","grade","ble_ucat","del_ucat","evo_ucat","rvo_ucat","nre_ucat","wre_ucat","srt_ucat","nwr_ucat","lnc","lco","rao","dgs","lsi_ucat","reading_outcome","cELStatus","cProxySES"
"842",842,-0.574176859685411,-1.37571209017136,"EO","NotReported",NA,NA,NA,NA,NA,NA,NA,NA,19,99,10,99,6,93,NA,NA,NA,NA,78,0,-0.8958,-0.3049,NA,NA,NA,NA,-0.9647,1.1867,22,NA,21,NA,NA,99,"EO","NotReported"
"843",843,-1.63759362400859,-2.29731119848368,"EO","NotReported",NA,NA,NA,NA,NA,NA,NA,NA,39,119,14,110,13,117,NA,NA,NA,NA,84,0,0.3921,0.2363,NA,NA,NA,NA,-1.2951,1.3057,46,NA,26,8,NA,119,"EO","NotReported"
"844",844,-0.438670516264647,-1.05111553873612,"EO","NotReported",0.823883184955732,0.0552934452711644,"EO","NotReported",NA,NA,NA,NA,13,86,8,91,6,92,NA,NA,NA,NA,84,0,-0.8958,-1.2925,NA,NA,NA,NA,-1.2951,0.377,26,NA,37,5,NA,86,"EO","NotReported"
"845",845,-0.344125412257409,-1.05111553873612,"EL","NotReported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EL","NotReported"
"846",846,1.32314427037085,0.568881591888524,"EO","NotReported",1.17924365908428,0.310352135375381,"EO","NotReported",0.802620342335312,0.926747164555751,"EO","NotReported",18,99,11,104,11,115,NA,NA,NA,NA,81,0,0.2485,-0.3049,NA,NA,NA,NA,-0.9684,0.5959,15,NA,28,8,NA,99,"EO","NotReported"
"847",847,1.17678660534368,0.706159238883065,"EO","NotReported",0.978640091035618,0.310352135375381,"EO","NotReported",NA,NA,NA,NA,25,99,15,107,13,112,NA,NA,NA,NA,87,0,2.8683,-0.3049,NA,NA,NA,NA,-0.6636,1.6042,28,NA,31,7,NA,99,"EO","NotReported"
"848",848,-0.533215620271885,-1.05111553873612,"EO","NotReported",0.757015328939512,0.0552934452711644,"EO","NotReported",-1.15967086637854,-0.813998802967244,"EO","NotReported",8,69,4,70,6,87,NA,NA,NA,NA,86,0,-3,-0.3049,NA,NA,NA,NA,-0.6636,-0.9855,NA,NA,27,7,NA,69,"EO","NotReported"
"849",849,-0.654805975740506,-1.21997844620836,"EO","NotReported",0.518289570932196,-0.216866240744262,"EO","NotReported",NA,NA,NA,NA,18,92,9,91,6,89,NA,NA,NA,NA,85,0,-3,-1.159,NA,NA,NA,NA,NA,-1.025,26,NA,NA,NA,NA,92,"EO","NotReported"
"850",850,1.72260954665143,1.01561942017272,"EO","NotReported",1.40433918758931,0.568881591888524,"EO","NotReported",NA,NA,NA,NA,14,90,9,96,6,93,NA,NA,NA,NA,82,0,-0.4606,-3,NA,NA,NA,NA,-0.6636,-0.5056,33,NA,34,6,NA,90,"EO","NotReported"
"851",851,0.48788777417887,-0.0772846962889839,"EO","NotReported",1.04550794705184,0.310352135375381,"EO","NotReported",NA,NA,NA,NA,25,102,13,105,11,110,NA,NA,NA,NA,85,0,0.3826,-0.3049,NA,NA,NA,NA,-0.8984,-0.448,35,NA,36,5,NA,102,"EO","NotReported"
"852",852,1.03496894933282,0.706159238883065,"EO","NotReported",0.490701475346923,-0.0772846962889839,"EO","NotReported",1.46257472538865,1.98548298175262,"EO","NotReported",20,87,10,87,9,97,NA,NA,NA,NA,91,0,0.3921,0.2363,NA,NA,NA,NA,-0.6209,-0.9855,37,NA,43,6,NA,87,"EO","NotReported"
"853",853,0.5731933637354,0.0552934452711644,"EO","NotReported",1.40788112255141,0.706159238883065,"EO","NotReported",0.948848678124268,1.29452074153556,"EO","NotReported",23,98,12,100,12,111,NA,NA,NA,NA,86,0,-0.3935,0.2363,NA,NA,NA,NA,-0.6636,1.7952,23,NA,44,8,NA,98,"EO","NotReported"
"854",854,-1.57483052844517,-1.43091471885874,"EO","NotReported",0.156362195265821,-0.0772846962889839,"EO","NotReported",0.192567139934109,1.15856587867979,"EO","NotReported",44,104,17,95,14,99,NA,NA,NA,NA,101,1,NA,0.7586,0.6106,NA,0.1353,0.5119,-0.323,2.0669,NA,NA,42,11,NA,104,"EO","NotReported"
"855",855,0.851300772277253,0.853398925852826,"EO","NotReported",0.644300810954516,0.310352135375381,"EO","NotReported",1.08703075083348,1.92010234486465,"EO","NotReported",47,112,18,102,14,102,NA,NA,NA,NA,98,1,NA,-0.1566,0.8808,NA,0.1353,1.2347,-0.9218,0.969,NA,NA,27,8,NA,112,"EO","NotReported"
"856",856,2.02067160731033,2.07004231288952,"EO","NotReported",1.50084342467884,1.20032867710781,"EO","NotReported",1.13231237368685,2.00969301595619,"EO","NotReported",56,125,29,122,24,127,NA,NA,NA,NA,99,1,NA,1.4158,0.6854,NA,0.896,1.5199,-0.4549,1.0378,NA,NA,54,8,NA,125,"EO","NotReported"
